Orthogroup	Duplications (all)	Duplications (50% support)
OG0001077	6	6
OG0001078	9	9
OG0001079	3	3
OG0001080	9	9
OG0001081	7	7
OG0001082	7	7
OG0001083	3	3
OG0001084	10	10
OG0001085	8	8
OG0001086	8	8
OG0001087	8	8
OG0001088	9	9
OG0001089	6	6
OG0001090	9	9
OG0001091	4	3
OG0001092	9	9
OG0001093	8	8
OG0001094	9	9
OG0001095	8	8
OG0001096	9	9
OG0001097	9	9
OG0001098	3	3
OG0001099	6	5
OG0001100	7	7
OG0001101	10	10
OG0001102	5	4
OG0001103	11	11
OG0001104	7	7
OG0001105	6	6
OG0001106	9	9
OG0001107	9	9
OG0001108	9	9
OG0001109	7	7
OG0001110	5	4
OG0001111	3	3
OG0001112	8	8
OG0001113	6	5
OG0001114	6	6
OG0001115	7	7
OG0001116	10	10
OG0001117	9	9
OG0001118	3	3
OG0001119	8	8
OG0001120	8	8
OG0001121	11	11
OG0001122	5	5
OG0001123	10	10
OG0001124	9	9
OG0001125	11	11
OG0001126	11	11
OG0001127	8	8
OG0001128	7	7
OG0001129	7	6
OG0001130	9	9
OG0001131	9	9
OG0001132	9	9
OG0001133	7	7
OG0001134	9	9
OG0001135	9	9
OG0001136	8	7
OG0001137	9	9
OG0001138	6	5
OG0001139	8	8
OG0001140	11	11
OG0001141	5	5
OG0001142	8	8
OG0001143	8	8
OG0001144	10	10
OG0001145	9	9
OG0001146	4	4
OG0001147	11	11
OG0001148	10	10
OG0001149	9	9
OG0001150	4	4
OG0001151	8	8
OG0001152	8	8
OG0001153	6	5
OG0001154	5	5
OG0001155	10	10
OG0001156	7	7
OG0001157	6	6
OG0001158	11	11
OG0001159	5	5
OG0001160	9	9
OG0001161	11	11
OG0001162	8	8
OG0001163	8	8
OG0001164	8	8
OG0001165	4	4
OG0001166	4	4
OG0001167	10	10
OG0001168	5	4
OG0001169	9	9
OG0001170	9	9
OG0001171	7	7
OG0001172	12	12
OG0001173	12	12
OG0001174	12	12
OG0001175	11	11
OG0001176	12	12
OG0001177	12	12
OG0001178	12	12
OG0001179	12	12
OG0001180	11	11
OG0001181	11	11
OG0001182	10	10
OG0001183	11	11
OG0001184	8	8
OG0001185	11	11
OG0001186	12	12
OG0001187	11	11
OG0001188	12	12
OG0001189	8	8
OG0001190	6	6
OG0001191	8	8
OG0001192	2	2
OG0001193	7	7
OG0001194	10	10
OG0001195	2	2
OG0001196	9	9
OG0001197	6	6
OG0001198	11	11
OG0001199	8	8
OG0001200	4	4
OG0001201	9	9
OG0001202	5	5
OG0001203	10	10
OG0001204	10	10
OG0001205	4	4
OG0001206	9	9
OG0001207	11	11
OG0001208	8	8
OG0001209	7	7
OG0001210	3	3
OG0001211	4	4
OG0001212	3	3
OG0001213	7	7
OG0001214	8	8
OG0001215	10	10
OG0001216	7	7
OG0001217	7	7
OG0001218	2	2
OG0001219	8	8
OG0001220	5	5
OG0001221	6	6
OG0001222	7	7
OG0001223	5	5
OG0001224	2	2
OG0001225	4	2
OG0001226	5	5
OG0001227	6	6
OG0001228	8	8
OG0001229	5	5
OG0001230	3	3
OG0001231	8	8
OG0001232	10	10
OG0001233	6	6
OG0001234	3	3
OG0001235	8	8
OG0001236	2	2
OG0001237	7	7
OG0001238	6	6
OG0001239	5	5
OG0001240	5	5
OG0001241	6	6
OG0001242	6	6
OG0001243	2	2
OG0001244	8	8
OG0001245	8	8
OG0001246	3	3
OG0001247	9	9
OG0001248	9	9
OG0001249	5	5
OG0001250	9	9
OG0001251	5	5
OG0001252	8	8
OG0001253	4	4
OG0001254	8	8
OG0001255	5	5
OG0001256	2	2
OG0001257	6	6
OG0001258	6	6
OG0001259	8	8
OG0001260	8	8
OG0001261	3	3
OG0001262	4	4
OG0001263	9	9
OG0001264	8	8
OG0001265	10	10
OG0001266	3	3
OG0001267	5	5
OG0001268	8	8
OG0001269	8	8
OG0001270	8	8
OG0001271	7	7
OG0001272	5	5
OG0001273	10	10
OG0001274	2	2
OG0001275	8	8
OG0001276	6	6
OG0001277	4	4
OG0001278	8	8
OG0001279	3	3
OG0001280	8	8
OG0001281	4	4
OG0001282	2	2
OG0001283	6	6
OG0001284	8	8
OG0001285	8	8
OG0001286	4	4
OG0001287	5	5
OG0001288	7	6
OG0001289	3	3
OG0001290	7	7
OG0001291	7	7
OG0001292	4	3
OG0001293	7	7
OG0001294	3	3
OG0001295	8	8
OG0001296	6	6
OG0001297	6	5
OG0001298	4	4
OG0001299	8	8
OG0001300	8	8
OG0001301	8	8
OG0001302	7	7
OG0001303	4	4
OG0001304	7	7
OG0001305	9	9
OG0001306	8	8
OG0001307	6	5
OG0001308	7	7
OG0001309	8	8
OG0001310	7	7
OG0001311	7	7
OG0001312	5	5
OG0001313	8	8
OG0001314	6	6
OG0001315	7	7
OG0001316	6	6
OG0001317	5	5
OG0001318	8	8
OG0001319	7	7
OG0001320	11	11
OG0001321	8	8
OG0001322	7	7
OG0001323	6	6
OG0001324	8	8
OG0001325	6	6
OG0001326	8	8
OG0001327	7	6
OG0001328	5	5
OG0001329	4	4
OG0001330	7	7
OG0001331	5	5
OG0001332	7	7
OG0001333	8	8
OG0001334	6	6
OG0001335	5	5
OG0001336	8	8
OG0001337	8	8
OG0001338	5	5
OG0001339	4	4
OG0001340	7	7
OG0001341	7	7
OG0001342	7	7
OG0001343	8	8
OG0001344	8	8
OG0001345	9	9
OG0001346	9	9
OG0001347	4	4
OG0001348	10	10
OG0001349	7	7
OG0001350	7	7
OG0001351	8	8
OG0001352	5	5
OG0001353	8	8
OG0001354	6	5
OG0001355	8	7
OG0001356	7	7
OG0001357	4	4
OG0001358	10	10
OG0001359	7	7
OG0001360	8	8
OG0001361	6	6
OG0001362	7	7
OG0001363	6	6
OG0001364	8	8
OG0001365	5	5
OG0001366	8	8
OG0001367	8	8
